[[[[111, 119, 85, 1, 64], [157, 89, 10, 163, 245]], 'Blue'], [[[90, 5, 10, 29, 412], [41, 54, 15, 555, 157]], 'Blue'], [[[14, 50, 202, 126, 121], [86, 59, 22, 161, 38]], 'Blue'], [[[36, 498, 497, 164, 79], [54, 157, 203, 145, 99]], 'Red']]
[[[[11, 236, 161, 38, 104], [3, 35, 17, 45, 64]], 'Red'], [[[223, 82, 112, 518, 203], [15, 74, 32, 11, 63]], 'Red'], [[[238, 222, 60, 134, 105], [9, 29, 420, 99, 35]], 'Red'], [[[13, 518, 53, 201, 4], [72, 126, 412, 112, 516]], 'Red']]
[[[[3, 15, 54, 40, 80], [60, 82, 91, 22, 117]], 'Red'], [[[4, 412, 498, 80, 30], [421, 61, 145, 497, 114]], 'Blue'], [[[63, 64, 236, 61, 498], [497, 31, 121, 81, 55]], 'Red'], [[[84, 427, 107, 150, 421], [64, 8, 55, 39, 497]], 'Red']]
[[[[412, 67, 110, 142, 154], [64, 119, 53, 55, 122]], 'Red'], [[[143, 420, 114, 119, 64], [80, 421, 497, 84, 145]], 'Blue'], [[[39, 245, 80, 134, 55], [555, 61, 126, 86, 107]], 'Blue'], [[[91, 350, 236, 421, 84], [56, 1, 21, 76, 12]], 'Red']]
[[[[267, 114, 518, 51, 121], [16, 81, 517, 80, 102]], 'Red'], [[[25, 236, 92, 102, 7], [37, 245, 110, 83, 55]], 'Red'], [[[28, 99, 36, 25, 22], [126, 45, 54, 83, 3]], 'Red'], [[[432, 81, 24, 9, 31], [15, 142, 420, 121, 164]], 'Red']]
[[[[121, 114, 84, 28, 12], [43, 2, 41, 236, 136]], 'Blue'], [[[121, 114, 222, 555, 57], [36, 134, 142, 238, 17]], 'Blue'], [[[48, 145, 8, 63, 22], [555, 114, 54, 15, 119]], 'Blue'], [[[76, 13, 161, 420, 68], [223, 38, 110, 55, 517]], 'Blue']]
[[[[35, 45, 240, 76, 18], [126, 61, 245, 267, 236]], 'Blue'], [[[17, 223, 42, 89, 34], [99, 119, 86, 427, 51]], 'Red'], [[[55, 114, 498, 518, 412], [106, 98, 96, 10, 21]], 'Red'], [[[92, 40, 86, 25, 22], [236, 420, 141, 43, 64]], 'Red']]
[[[[44, 11, 54, 45, 412], [99, 119, 111, 420, 145]], 'Blue'], [[[54, 30, 15, 111, 157], [85, 89, 119, 44, 11]], 'Red'], [[[119, 111, 24, 10, 203], [157, 30, 51, 54, 555]], 'Red'], [[[40, 421, 84, 498, 91], [58, 30, 75, 51, 497]], 'Blue']]
[[[[64, 55, 157, 145, 53], [30, 240, 38, 555, 119]], 'Blue'], [[[35, 80, 34, 412, 51], [64, 25, 58, 236, 142]], 'Red'], [[[134, 80, 119, 30, 111], [161, 82, 81, 53, 421]], 'Blue'], [[[45, 4, 55, 121, 41], [10, 131, 134, 89, 107]], 'Blue']]
[[[[2, 69, 267, 141, 119], [84, 51, 13, 99, 427]], 'Red'], [[[13, 103, 101, 131, 29], [266, 122, 8, 429, 59]], 'Red'], [[[141, 59, 2, 267, 10], [53, 429, 104, 51, 74]], 'Red'], [[[80, 133, 115, 117, 92], [61, 134, 29, 17, 10]], 'Blue']]
[[[[51, 16, 134, 75, 266], [67, 245, 497, 36, 96]], 'Red'], [[[81, 99, 63, 107, 92], [64, 517, 150, 31, 80]], 'Blue'], [[[14, 10, 203, 161, 81], [64, 82, 245, 429, 154]], 'Blue'], [[[53, 29, 105, 33, 41], [119, 36, 145, 157, 412]], 'Red']]
[[[[110, 111, 245, 134, 85], [13, 223, 80, 81, 141]], 'Red'], [[[22, 245, 143, 60, 240], [53, 145, 58, 2, 38]], 'Red'], [[[30, 74, 150, 29, 39], [117, 85, 50, 254, 202]], 'Red'], [[[29, 121, 38, 164, 117], [10, 157, 35, 145, 412]], 'Blue']]
[[[[110, 111, 245, 134, 85], [13, 223, 80, 81, 141]], 'Red'], [[[412, 80, 240, 8, 22], [76, 497, 21, 164, 13]], 'Red'], [[[105, 498, 43, 76, 84], [236, 25, 8, 107, 10]], 'Blue'], [[[43, 498, 150, 10, 60], [39, 1, 163, 107, 16]], 'Blue']]
[[[[40, 15, 57, 134, 203], [36, 412, 22, 84, 8]], 'Blue'], [[[25, 157, 69, 8, 64], [13, 145, 134, 56, 43]], 'Red'], [[[154, 8, 86, 111, 157], [89, 516, 13, 421, 202]], 'Red'], [[[122, 105, 497, 498, 120], [117, 92, 59, 8, 29]], 'Red']]
[[[[117, 498, 30, 99, 122], [39, 555, 50, 107, 43]], 'Red'], [[[497, 498, 164, 142, 36], [145, 111, 57, 30, 39]], 'Blue'], [[[30, 145, 23, 246, 201], [39, 497, 498, 427, 57]], 'Red'], [[[39, 145, 64, 12, 61], [111, 41, 3, 498, 56]], 'Blue']]
[[[[72, 41, 498, 26, 497], [7, 64, 122, 81, 89]], 'Red'], [[[8, 222, 412, 61, 203], [90, 497, 2, 68, 498]], 'Red'], [[[412, 51, 85, 121, 82], [53, 39, 15, 60, 68]], 'Blue'], [[[76, 105, 498, 85, 111], [119, 412, 114, 2, 517]], 'Red']]
[[[[157, 18, 498, 111, 245], [67, 63, 28, 131, 126]], 'Red'], [[[412, 80, 240, 8, 22], [76, 497, 21, 164, 13]], 'Red'], [[[111, 157, 23, 61, 60], [145, 104, 68, 518, 53]], 'Blue'], [[[143, 420, 114, 119, 64], [80, 421, 497, 84, 145]], 'Blue']]
[[[[111, 86, 119, 245, 246], [35, 10, 421, 164, 115]], 'Red'], [[[29, 13, 44, 85, 141], [31, 86, 59, 555, 81]], 'Blue'], [[[126, 412, 8, 60, 145], [51, 1, 39, 497, 2]], 'Blue'], [[[245, 86, 498, 53, 10], [157, 79, 55, 41, 106]], 'Red']]
[[[[245, 64, 236, 164, 111], [80, 7, 350, 134, 41]], 'Red'], [[[41, 236, 7, 80, 245], [164, 36, 142, 412, 145]], 'Blue'], [[[7, 51, 64, 25, 8], [53, 15, 203, 68, 61]], 'Red'], [[[134, 25, 51, 516, 92], [38, 497, 236, 8, 245]], 'Blue']]
[[[[245, 86, 498, 53, 10], [157, 79, 55, 41, 106]], 'Red'], [[[420, 245, 10, 81, 432], [68, 30, 145, 39, 412]], 'Red'], [[[76, 9, 112, 498, 41], [22, 55, 245, 143, 31]], 'Red'], [[[24, 80, 113, 82, 59], [16, 112, 81, 240, 121]], 'Blue']]
[[[[111, 119, 85, 1, 64], [157, 89, 10, 163, 245]], 'Blue'], [[[25, 90, 24, 145, 126], [67, 74, 59, 53, 8]], 'Red'], [[[421, 61, 81, 8, 16], [126, 7, 267, 18, 64]], 'Blue'], [[[112, 11, 44, 30, 25], [64, 145, 26, 85, 246]], 'Blue']]
[[[[83, 111, 245, 67, 90], [45, 64, 53, 99, 80]], 'Blue'], [[[111, 8, 142, 28, 157], [421, 69, 86, 74, 223]], 'Red'], [[[51, 103, 35, 114, 104], [80, 222, 117, 38, 74]], 'Red'], [[[107, 18, 59, 75, 245], [18, 99, 267, 266, 64]], 'Blue']]
[[[[350, 38, 107, 164, 236], [112, 201, 81, 245, 114]], 'Blue'], [[[60, 497, 18, 13, 14], [10, 8, 81, 48, 555]], 'Red'], [[[64, 80, 10, 145, 16], [245, 75, 41, 497, 498]], 'Red'], [[[90, 82, 412, 498, 141], [24, 145, 201, 45, 121]], 'Blue']]
[[[[85, 2, 412, 498, 84], [64, 55, 1, 145, 41]], 'Red'], [[[41, 35, 127, 36, 236], [98, 412, 2, 145, 84]], 'Red'], [[[164, 157, 101, 51, 245], [412, 59, 122, 498, 84]], 'Red'], [[[76, 18, 89, 21, 84], [122, 55, 101, 202, 141]], 'Red']]
[[[[134, 114, 2, 119, 412], [25, 39, 5, 145, 246]], 'Red'], [[[45, 4, 55, 121, 41], [10, 131, 134, 89, 107]], 'Blue'], [[[16, 51, 80, 59, 31], [427, 17, 18, 350, 117]], 'Blue'], [[[122, 134, 80, 59, 555], [236, 89, 86, 107, 131]], 'Blue']]
[[[[53, 105, 36, 236, 68], [203, 84, 1, 555, 498]], 'Blue'], [[[245, 18, 89, 26, 98], [92, 412, 145, 13, 421]], 'Blue'], [[[84, 111, 22, 60, 58], [134, 10, 121, 222, 143]], 'Blue'], [[[202, 16, 76, 14, 157], [35, 53, 101, 92, 22]], 'Blue']]
[[[[60, 350, 240, 236, 86], [20, 99, 92, 10, 498]], 'Blue'], [[[2, 41, 105, 350, 22], [82, 16, 76, 86, 202]], 'Blue'], [[[86, 30, 41, 145, 40], [84, 134, 203, 157, 555]], 'Red'], [[[51, 86, 412, 24, 245], [89, 202, 121, 82, 164]], 'Red']]
[[[[145, 64, 13, 99, 80], [17, 41, 4, 25, 21]], 'Red'], [[[134, 114, 2, 119, 412], [25, 39, 5, 145, 246]], 'Red'], [[[53, 8, 202, 80, 163], [84, 111, 134, 421, 119]], 'Blue'], [[[421, 61, 432, 50, 122], [57, 13, 245, 145, 53]], 'Blue']]
[[[[13, 555, 202, 245, 164], [497, 145, 18, 203, 3]], 'Red'], [[[350, 518, 72, 145, 86], [161, 99, 98, 84, 48]], 'Red'], [[[81, 28, 99, 39, 14], [50, 246, 24, 134, 67]], 'Red'], [[[145, 14, 80, 13, 53], [40, 64, 22, 86, 518]], 'Red']]
[[[[91, 236, 89, 10, 36], [238, 64, 497, 517, 134]], 'Red'], [[[141, 412, 127, 114, 145], [59, 517, 41, 236, 111]], 'Blue'], [[[9, 202, 245, 412, 14], [119, 84, 35, 238, 20]], 'Red'], [[[154, 8, 86, 111, 157], [89, 516, 13, 421, 202]], 'Red']]
[[[[81, 64, 35, 85, 10], [61, 86, 498, 497, 78]], 'Blue'], [[[42, 157, 8, 80, 2], [98, 421, 145, 111, 134]], 'Red'], [[[59, 8, 202, 25, 45], [18, 89, 61, 64, 126]], 'Red'], [[[57, 236, 497, 7, 245], [498, 89, 68, 104, 3]], 'Red']]
[[[[246, 59, 38, 35, 69], [412, 81, 2, 91, 39]], 'Blue'], [[[84, 92, 81, 157, 53], [127, 16, 236, 39, 163]], 'Red'], [[[22, 246, 555, 516, 2], [91, 145, 497, 245, 10]], 'Red'], [[[98, 145, 412, 79, 84], [238, 203, 8, 111, 22]], 'Red']]
[[[[126, 81, 26, 517, 79], [157, 64, 10, 134, 80]], 'Red'], [[[12, 8, 64, 84, 236], [59, 81, 89, 245, 13]], 'Red'], [[[267, 9, 517, 59, 81], [142, 101, 222, 75, 76]], 'Blue'], [[[99, 61, 267, 4, 75], [42, 12, 117, 13, 67]], 'Red']]
[[[[80, 10, 498, 64, 35], [69, 59, 236, 86, 516]], 'Red'], [[[80, 53, 145, 72, 157], [60, 114, 55, 236, 516]], 'Blue'], [[[60, 412, 4, 122, 145], [498, 516, 38, 24, 11]], 'Blue'], [[[38, 84, 99, 64, 81], [21, 421, 10, 516, 85]], 'Blue']]
[[[[121, 81, 53, 164, 80], [39, 20, 145, 115, 43]], 'Blue'], [[[54, 85, 497, 39, 29], [107, 19, 57, 420, 9]], 'Blue'], [[[81, 150, 68, 421, 412], [69, 21, 121, 80, 25]], 'Red'], [[[131, 69, 53, 51, 92], [245, 81, 90, 267, 114]], 'Red']]
[[[[82, 246, 498, 555, 56], [4, 201, 110, 516, 64]], 'Blue'], [[[84, 432, 64, 14, 145], [74, 134, 555, 107, 236]], 'Blue'], [[[41, 245, 4, 67, 412], [28, 58, 39, 111, 145]], 'Red'], [[[10, 518, 164, 29, 145], [103, 163, 122, 81, 35]], 'Blue']]
[[[[58, 81, 103, 40, 203], [92, 350, 9, 238, 157]], 'Blue'], [[[266, 81, 69, 19, 555], [145, 26, 64, 85, 90]], 'Red'], [[[203, 134, 497, 80, 498], [8, 421, 412, 6, 145]], 'Blue'], [[[64, 55, 145, 24, 53], [412, 60, 164, 4, 51]], 'Red']]
[[[[2, 51, 92, 50, 1], [245, 157, 24, 267, 105]], 'Blue'], [[[22, 350, 246, 516, 86], [64, 127, 50, 10, 81]], 'Red'], [[[86, 107, 25, 157, 202], [51, 412, 111, 53, 50]], 'Blue'], [[[25, 10, 421, 22, 101], [106, 38, 163, 14, 240]], 'Red']]
[[[[121, 10, 69, 236, 412], [22, 53, 421, 90, 133]], 'Blue'], [[[163, 516, 412, 39, 145], [157, 81, 35, 421, 3]], 'Red'], [[[412, 127, 133, 64, 15], [145, 121, 81, 83, 53]], 'Blue'], [[[498, 99, 164, 16, 203], [30, 245, 555, 157, 145]], 'Red']]
